Title|URL|Text
Comment débloquer ma carte suite à 3 codes faux ?|https://www.cmso.com/reseau-bancaire-cooperatif/web/aide/faq?question=comment-debloquer-carte-suite-3-codes-faux|Vous avez bloqué l'utilisation de votre carte chez un commerçant suite à 3 codes faux ? Pour la débloquer, insérez-la dans un distributeur automatique de billets et saisissez votre code confidentiel. Si le retrait aboutit, la carte est automatiquement débloquée et peut être de nouveau utilisée. À savoir :  Ce déblocage est possible sur tous les distributeurs automatiques de billets en France.  Ce service fonctionne également à l'étranger à condition que le distributeur soit en mesure de lire la puce de la carte. Ceci est presque toujours le cas en Europe, mais pas forcément hors Europe, où de nombreux distributeurs fonctionnent encore en mode de lecture de piste magnétique.
Comment obtenir mon Imprimé Fiscal Unique (IFU) ?|https://www.cmso.com/reseau-bancaire-cooperatif/web/aide/faq?question=comment-obtenir-ifu-imprime-fiscal-unique|"L’imprimé fiscal unique (IFU), est un document qui synthétise tous les revenus des capitaux mobiliers (intérêts et/ou dividendes) perçus dans l’année. Vous pouvez ainsi vérifier les montants pré-remplis sur votre déclaration de revenus. Vous le recevez automatiquement : Soit par courrier : pour les Imprimés fiscaux uniques (IFU) concernant vos produits d’épargne, l’envoi se fait pendant le mois de mars, si vous êtes client chez nous. Pour vos contrats d’assurance-vie, les Imprimés fiscal unique (IFU) correspondant vous sont adressés pendant le mois d’avril. Soit dans votre espace client si vous avez choisi la dématérialisation de vos documents : dans le menu de gauche, cliquez sur la rubrique “Mes documents”, puis ""Mes relevés et contrats"". À  savoir : L’imprimé doit être conservé et peut servir de justificatif en cas de demande de l’administration fiscale. Si vous détenez des placements dans plusieurs établissements financiers, vous recevrez plusieurs Imprimés fiscal unique (IFU)."
Ma carte a été avalée par le distributeur automatique : que dois-je faire ?|https://www.cmso.com/reseau-bancaire-cooperatif/web/aide/faq?question=carte-a-avalee-un-distributeur-automatique-billets-que-dois-je-faire|Par mesure de sécurité, au-delà de trois essais de code erronés, votre carte est avalée par le distributeur automatique de billets. Ne vous inquiétez pas.  Pour récupérer votre carte, présentez-vous dans les 48 heures suivant l'incident dans l'établissement bancaire dont dépendait le distributeur automatique de billets muni(e) d'un justificatif d'identité. À savoir : Si votre carte ne peut être réactivée, demandez la fabrication d'une nouvelle carte à votre conseiller.
J'ai oublié mon code de carte : comment faire ?|https://www.cmso.com/reseau-bancaire-cooperatif/web/aide/faq?question=ai-oublie-mon-code-carte-bancaire-comment-faire|"Si vous avez oublié votre code de carte, contactez votre conseiller en agence.  Nous procéderons à la réédition de votre code : un nouveau code vous sera alors expédié par courrier.  Cette réédition vous sera facturée conformément aux ""Conditions Tarifaires"" en vigueur."
Comment contacter l'assistance liée à la carte ?|https://www.cmso.com/reseau-bancaire-cooperatif/web/aide/faq?question=comment-contacter-assistance-liee-la-carte|Votre carte bancaire vous permet de bénéficier de garanties d'assistance et d'assurance. Pour contacter ces services d'assistance ou d'assurance liés à votre carte, consultez le verso de votre carte : vous y trouverez le numéro à composer pour les joindre.
Comment utiliser le QR-code de validation pour enregistrer mon mobile comme appareil de confiance ?|https://www.cmso.com/reseau-bancaire-cooperatif/web/aide/faq?question=comment-utiliser-qr-code-validation-enregistrer-mobile-comme-appareil-confiance-29763|"Pour enregistrer votre mobile comme appareil de confiance et ainsi pouvoir utiliser l’appli CMSO, vous avez reçu un courrier à votre domicile : sur ce document, vous trouvez un QR-code de validation et une clé sécurisée temporaire. Une fois connecté à l'appli CMSO, sélectionnez ""Enregistrement par courrier"". Cliquez sur ""J'ai reçu mes codes"". Flashez le QR code en le prenant en photo à l’aide de votre mobile. Si vous ne parvenez pas à flasher le QR code, vous pouvez aussi renseigner le code se composant de lettres et de chiffres présent sur le courrier, à côté du QR code. À savoir : Découvrez également notre tutoriel sur : ""Comment enregistrer votre mobile comme appareil de confiance par courrier""."
Comment réaliser un virement en France ?|https://www.cmso.com/reseau-bancaire-cooperatif/web/aide/faq?question=comment-realiser-virement-france-8384|"Vous pouvez réaliser un virement en France depuis votre espace client sur l'appli CMSO ou sur le site internet. En vous connectant à l'appli CMSO En bas de votre écran, cliquez sur ""Virement"", puis sélectionnez ""Nouveau virement"". Sélectionnez le compte à débiter. Sélectionnez ensuite le compte à créditer : vous pouvez choisir un de vos comptes, un bénéficiaire déjà enregistré ou ajouter un nouveau bénéficiaire. Saisissez le montant du virement puis cliquez sur ""Suivant"". Dans les caractéristiques, sélectionnez le ""Type de virement"" (Ponctuel, Différé ou Périodique). Le ""Libellé du virement"" est facultatif. Selon les caractéristiques de votre virement, le mode d’envoi ""instantané"" sera proposé par défaut si celui-ci est éligible. Dans le récapitulatif, vérifiez les éléments saisis pour le virement et cliquez sur ""Confirmer"". Depuis le site internet cmso.com Depuis la page d'accueil, cliquez à gauche sur ""VIREMENTS"", et sélectionnez ""Nouveau virement"". Cliquez sur le compte à débiter. Cliquez ensuite le compte à créditer : vous pouvez sélectionner un de vos comptes ou un bénéficiaire déjà enregistré. Saisissez le montant du virement puis cliquez sur ""Suivant"". Dans les caractéristiques, sélectionnez le ""Type de virement"" (Ponctuel, Différé ou Périodique). Le ""Libellé du virement"" est facultatif. Choisissez un mode d'envoi (si disponible) : instantané ou standard. Finalisez l'action en cliquant sur ""Confirmer"". À savoir : Depuis votre compte, vous pouvez réaliser un virement vers vos comptes et ceux de vos enfants (en tant que représentant légal) et vers les comptes sur lesquels vous avez une procuration (comptes mandataires). Pour réaliser un virement vers un livret, vous devez passer par l'intermédiaire de votre compte. Vous souhaitez, par exemple, virer 250 € de votre Livret A vers votre Livret de Développement Durable et Solidaire  : deux étapes sont nécessaires pour réaliser cette opération : Faites un virement de 250 € de votre livret A vers votre compte. Virez ensuite les 250 € depuis votre compte vers votre Livret de Développement Durable et Solidaire."
Comment obtenir une carte virtuelle ?|https://www.cmso.com/reseau-bancaire-cooperatif/web/aide/faq?question=comment-obtenir-numero-virtualis-site|"Avec le service Virtualis, sécurisez vos paiements en créant une carte virtuelle depuis votre espace client, sur l'appli CMSO ou sur le site internet. Depuis l'appli CMSO Depuis la barre de navigation en bas de votre écran, sélectionnez le raccourci ""Virtualis"". Choisissez la carte sur laquelle vous souhaitez créer un numéro. Renseignez le montant de votre achat et la durée de validité de la carte virtuelle (via le champ de saisie ou la réglette). Cliquez sur “Créer un numéro virtuel” pour générer la carte virtuelle. ""Copier le numéro"" via le bouton pour le coller ensuite sur le site du e-commerçant. Renseignez également la date d’expiration et le cryptogramme. Vérifiez sur le site du e-commerçant que votre achat est confirmé. Découvrez également notre tutoriel : Comment générer une carte virtuelle ? Depuis le site internet cmso.com Depuis la page d'accueil, dans ""MES RACCOURCIS CARTE"", cliquez sur le raccourci ""Virtualis"". Choisissez la carte sur laquelle vous souhaitez créer un numéro. Saisissez le montant et la durée de validité (via le champ de saisie ou la réglette). Cliquez sur ""Créer un numéro virtuel"" pour générer la carte virtuelle. ""Copier le numéro"" via le bouton pour le coller ensuite sur le site du e-commerçant. Renseignez également la date d’expiration et le cryptogramme. Vérifiez sur le site du e-commerçant que votre achat est confirmé. Vous pouvez également visualiser notre tutoriel : Comment générer une carte virtuelle ? À savoir : Complétez la page de paiement du site marchand avec les données de la carte Virtualis créée, jamais avec celles de la carte réelle. Au moment de la création de la carte Virtualis, aucune somme n'est prélevée de votre compte. Votre compte sera débité au moment où le paiement est pris en compte par le commerçant. Vous pouvez payer un abonnement en ligne avec votre carte virtuelle Virtualis. Pour faciliter des paiements récurrents, vous pouvez enregistrer les données de votre carte Virtualis (sur un site commerçant qui le propose). Adaptez le montant et la durée de votre carte virtuelle à l’usage que vous aurez auprès de ce commerçant."
Quels sont les produits d'épargne et placements concernés par l'Imprimé Fiscal Unique (IFU) ?|https://www.cmso.com/reseau-bancaire-cooperatif/web/aide/faq?question=sont-produits-depargne-placements-concernes-lifu-29139|Tous vos placements font l'objet d'un imprimé fiscal unique (IFU). Les produits d’épargne suivants sont concernés : Les Comptes de Titres, le Plan d'Épargne en Actions (PEA), le Plan d'Épargne en Actions - petites et moyennes entreprises (PEA-PME), Les Plans d'Épargne Logement (PEL) ouverts à compter du 1er janvier 2018, ou les Plans d'Épargne Logement (PEL) de plus de douze ans ouverts avant le 1er janvier 2018, ou pour les plans ouverts avant le 1er avril 1992, dont le terme est échu. Les Comptes Épargne Logement (CEL) de plus de 12 ans ouverts depuis 2018, Les livrets d'épargne (hors Livret A, Livret de développement durable et solidaire (LDDS) et autres livrets d’épargne réglementés non imposables)... Les contrats d’Assurance-Vie et les Plans d'Épargne Retraite sont également concernés : l’Imprimé fiscal unique (IFU) correspondant vous sera transmis par Suravenir si vous êtes client chez nous.
J'ai oublié mon code de sécurité pour me connecter à l'appli CMSO : comment le récupérer ?|https://www.cmso.com/reseau-bancaire-cooperatif/web/aide/faq?question=ai-oublie-mon-code-securite-pour-connecter-lappli-cmso-comment-recuperer|"En cas d'oubli de votre code de sécurité à 5 chiffres pour vous connecter à l'appli CMSO, il vous faudra supprimer l'appareil de confiance actuellement enregistré et renouveler la procédure d'enregistrement. Pour cela, connectez-vous à votre espace client sur le site internet cmso.com. Vous ne pouvez pas supprimer votre terminal de confiance depuis l'appli CMSO. Cliquez sur ""Paramétrage"" (icône roue crantée). Dans ""MA SECURITE BANCAIRE"", cliquez sur ""Mes terminaux de confiance"". Choisissez l'appareil concerné (si vous en avez plusieurs associés à votre espace client). En fonction de règles de sécurité, vous pouvez avoir accès à la fonctionnalité ""supprimer ce terminal"". Si la fonctionnalité n'apparaît pas, contactez l'assistance Banque à Distance, au 0969 320 440, accessible 7 jours sur 7, de 8h à 22h. Il vous faut ensuite enregistrer votre smartphone comme appareil de confiance."
